Target	POS	Context	Overlap	Sent1	Sent2	Sent3
volume	same|same|same	diff|diff|diff	true|true|true	Ha abbassato il <b>volume</b> della televisione.	Il <b>volume</b> della radio è troppo alto.	Il <b>volume</b> delle esportazioni è calato.
volume	same|same|same	diff|diff|diff	true|true|true	Il <b>volume</b> raccoglie gli scritti dell'autrice.	Questo <b>volume</b> è disponibile in biblioteca.	Ha abbassato il <b>volume</b> della televisione.
volume	same|same|same	diff|diff|diff	true|true|true	Il <b>volume</b> delle esportazioni è calato.	Secondo gli economisti il <b>volume</b> delle esportazioni è in calo.	Il <b>volume</b> della radio è troppo alto.
campione	same|same|same	diff|diff|diff	true|true|true	Preleva un <b>campione</b> di sangue con una siringa.	Il laboratorio analizza il <b>campione</b>.	Il <b>campione</b> saluta i tifosi.
campione	same|same|same	diff|diff|diff	true|true|true	Il <b>campione</b> saluta i tifosi.	I tifosi chiedono un autografo al <b>campione</b>.	Preleva un <b>campione</b> di sangue con una siringa.
facoltà	same|same|same	diff|diff|diff	true|true|true	La calamita ha la <b>facoltà</b> di attirare il ferro.	Il sospettato si è avvalso della <b>facoltà</b> di non rispondere.	La <b>facoltà</b> di Lettere ha pubblicato gli esiti dell'esame.
facoltà	same|same|same	diff|diff|diff	true|true|true	La <b>facoltà</b> di Lettere ha pubblicato gli esiti dell'esame.	Il corso di laurea è organizzato dalla <b>facoltà</b> di medicina.	La calamita ha la <b>facoltà</b> di attirare il ferro.
rombo	same|same|same	diff|diff|diff	true|true|true	Prima del temporale si udì un <b>rombo</b> in lontananza.	Il lampo è seguito da un <b>rombo</b> sordo.	L'area del <b>rombo</b> è la metà di quella del rettangolo.
rombo	same|same|same	diff|diff|diff	true|true|true	L'area del <b>rombo</b> è la metà di quella del rettangolo.	Il <b>rombo</b> è un poligono di quattro lati.	Prima del temporale si udì un <b>rombo</b> in lontananza.
rigore	same|same|same	diff|diff|diff	true|true|true	Alla squadra è concesso un tiro di <b>rigore</b>.	L'arbitro fischia il tiro di <b>rigore</b>.	Descrisse l'esperimento con <b>rigore</b> scientifico.
rigore	same|same|same	diff|diff|diff	true|true|true	Descrisse l'esperimento con <b>rigore</b> scientifico.	Studiò con <b>rigore</b> e passò l'esame.	L'arbitro fischia il tiro di <b>rigore</b>.
polo	same|same|same	diff|diff|diff	true|true|true	Arrivò indossando una <b>polo</b> a maniche lunghe.	Indossava una <b>polo</b> e un paio di jeans.	Fu il primo a raggiungere il <b>polo</b> in solitaria.
polo	same|same|same	diff|diff|diff	true|true|true	Impiegò anni per raggiungere il <b>polo</b> in slitta.	Il riscaldamento globale minaccia i ghiacci del <b>polo</b>.	Indossava una <b>polo</b> e un paio di jeans.
miglio	same|same|same	diff|diff|diff	true|true|true	Un <b>miglio</b> è poco più di un chilometro e mezzo.	L'azienda gestisce la filiera sino all'ultimo <b>miglio</b>.	Il <b>miglio</b> è un cereale privo di glutine.
miglio	same|same|same	diff|diff|diff	true|true|true	Il <b>miglio</b> è un cereale privo di glutine.	Il <b>miglio</b> contiene vitamine e sali minerali.	Un <b>miglio</b> è poco più di un chilometro e mezzo.
tasso	same|same|same	diff|diff|diff	true|true|true	Il <b>tasso</b> è un mammifero carnivoro.	Il <b>tasso</b> è un animale che si nutre d'insetti.	Il <b>tasso</b> degli interessi è indicato in percentuale.
tasso	same|same|same	diff|diff|diff	true|true|true	Il <b>tasso</b> degli interessi è indicato in percentuale.	Il mutuo a <b>tasso</b> variabile è rischioso.	Il <b>tasso</b> è un mammifero carnivoro.
lama	same|same|same	diff|diff|diff	true|true|true	Il <b>lama</b> è un animale erbivoro.	Un <b>lama</b> è un cammello domestico.	La spada ha una <b>lama</b> affilata.
lama	same|same|same	diff|diff|diff	true|true|true	Combatteva usando un'arma a doppia <b>lama</b>.	La spada ha una <b>lama</b> affilata.	Il <b>lama</b> è un animale erbivoro.
venti	same|same|same	diff|diff|diff	true|true|true	Ci sono <b>venti</b> che portano umidità e afa.	Sono previsti forti <b>venti</b> di burrasca.	Videro un gruppo di <b>venti</b> persone.
venti	same|same|same	diff|diff|diff	true|true|true	Videro un gruppo di <b>venti</b> persone.	Sono previste temperature oltre i <b>venti</b> gradi.	Sono previsti forti <b>venti</b> di burrasca.
botte	same|same|same	diff|diff|diff	true|true|true	Era stanca di fare a <b>botte</b> con la vita.	Un cittadino ha preso a <b>botte</b> il sindaco.	Nella <b>botte</b> piccola c'è il vino buono.
botte	same|same|same	diff|diff|diff	true|true|true	Nella <b>botte</b> piccola c'è il vino buono.	Comprò una <b>botte</b> di vino.	Era stanca di fare a <b>botte</b> con la vita.
credenza	same|same|same	diff|diff|diff	true|true|true	È una <b>credenza</b> popolare molto diffusa.	È una <b>credenza</b> appartenente al folclore locale.	La <b>credenza</b> conteneva piatti e posate.
credenza	same|same|same	diff|diff|diff	true|true|true	La <b>credenza</b> conteneva piatti e posate.	Ripose le stoviglie nella <b>credenza</b>.	È una <b>credenza</b> appartenente al folclore locale.
pesca	same|same|same	diff|diff|diff	true|true|true	I marinai andarono a <b>pesca</b> e non presero niente.	La <b>pesca</b> a strascico danneggia l'ambiente marino.	La <b>pesca</b> è un frutto molto delicato.
pesca	same|same|same	diff|diff|diff	true|true|true	La <b>pesca</b> è un frutto molto delicato.	Mangiò una macedonia di <b>pesca</b>.	I marinai andarono a <b>pesca</b> e non presero niente.
borsa	same|same|same	diff|diff|diff	true|true|true	Tirò fuori un libro dalla <b>borsa</b>.	Posò la <b>borsa</b> sul tavolo.	L'azienda debutta in <b>borsa</b>, vale oltre settanta miliardi.
borsa	same|same|same	diff|diff|diff	true|true|true	L'azienda debutta in <b>borsa</b>, vale oltre settanta miliardi.	Perse tutto speculando in <b>borsa</b> su titoli derivati.	Tirò fuori un libro dalla <b>borsa</b>.
foro	same|same|same	diff|diff|diff	true|true|true	La maglia aveva un grosso <b>foro</b> sul gomito.	Il maglione ha un <b>foro</b> sulla manica.	Ha vinto la causa presso il <b>foro</b> di Milano.
foro	same|same|same	diff|diff|diff	true|true|true	Ha vinto la causa presso il <b>foro</b> di Milano.	È avvocato presso il <b>foro</b> di Torino.	La maglia aveva un grosso <b>foro</b> sul gomito.
divisione	same|same|same	diff|diff|diff	true|true|true	La Serie B è la seconda <b>divisione</b> del campionato di calcio maschile.	La prima <b>divisione</b> del campionato di calcio è la Serie A.	La <b>divisione</b> è un'operazione aritmetica.
divisione	same|same|same	diff|diff|diff	true|true|true	La <b>divisione</b> è un'operazione aritmetica.	L'addizione è un'operazione più facile della <b>divisione</b>.	La prima <b>divisione</b> del campionato di calcio è la Serie A.
pianta	same|same|same	diff|diff|diff	true|true|true	L'Agave è una <b>pianta</b> grassa.	La <b>pianta</b> in giardino ha molti frutti.	La <b>pianta</b> dell'edificio è depositata al catasto.
pianta	same|same|same	diff|diff|diff	true|true|true	La <b>pianta</b> dell'edificio è depositata al catasto.	La <b>pianta</b> raffigura l'abitazione e un terreno attiguo.	L'Agave è una <b>pianta</b> grassa.
cappa	same|same|same	diff|diff|diff	true|true|true	La <b>cappa</b> è un elettrodomestico che elimina i fumi.	Decise di pulire la <b>cappa</b> della cucina.	C'era una <b>cappa</b> di smog che avvolgeva la città.
cappa	same|same|same	diff|diff|diff	true|true|true	C'era una <b>cappa</b> di smog che avvolgeva la città.	La cappa di <b>smog</b> rende l'aria irrespirabile.	La <b>cappa</b> è un elettrodomestico che elimina i fumi.
boa	same|same|same	diff|diff|diff	true|true|true	In mare c'era una <b>boa</b> segnaletica rossa.	Un'onda allontanò la barca dalla <b>boa</b>.	Il <b>boa</b> è un serpente non velenoso.
boa	same|same|same	diff|diff|diff	true|true|true	Il <b>boa</b> è un serpente non velenoso.	Il <b>boa</b> si nutre di uccelli e mammiferi.	Un'onda allontanò la barca dalla <b>boa</b>.
latte	same|same|same	diff|diff|diff	true|true|true	Il <b>latte</b> è una fonte di calcio e proteine.	Per colazione ebbe del <b>latte</b> con dei biscotti.	Nell'armadio c'erano delle vecchie <b>latte</b> di vernice.
latte	same|same|same	diff|diff|diff	true|true|true	Nell'armadio c'erano delle vecchie <b>latte</b> di vernice.	L'olio era conservato in delle <b>latte</b>.	Il <b>latte</b> è una fonte di calcio e proteine.
zecca	same|same|same	diff|diff|diff	true|true|true	La <b>zecca</b> è un insetto endemico.	Il morso della <b>zecca</b> è pericoloso.	La <b>zecca</b> ha emesso una moneta commemorativa.
zecca	same|same|same	diff|diff|diff	true|true|true	La <b>zecca</b> ha emesso una moneta commemorativa.	La <b>zecca</b> produce monete e sigilli dello stato.	La <b>zecca</b> è un insetto endemico.
cane	same|same|same	diff|diff|diff	true|true|true	Il <b>cane</b> è una parte della pistola.	Il <b>cane</b> è armato dal grilletto.	Il <b>cane</b> è un mammifero carnivoro.
cane	same|same|same	diff|diff|diff	true|true|true	Il <b>cane</b> è un mammifero carnivoro.	Il <b>cane</b> inseguiva la volpe.	Il <b>cane</b> è armato dal grilletto.
sirena	same|same|same	diff|diff|diff	true|true|true	La <b>sirena</b> è una creatura mitologica.	Nella mitologia la <b>sirena</b> incantava i marinai.	La <b>sirena</b> dell'ambulanza era rumorosa.
sirena	same|same|same	diff|diff|diff	true|true|true	La <b>sirena</b> dell'ambulanza era rumorosa.	Il comandante azionò la <b>sirena</b> da nebbia.	La <b>sirena</b> è una creatura mitologica.
lira	same|same|same	diff|diff|diff	true|true|true	La <b>lira</b> era la moneta italiana in uso prima dell'Euro.	La <b>lira</b> è stata una moneta molto debole.	La <b>lira</b> è uno strumento musicale a corde.
viola	same|same|same	diff|diff|diff	true|true|true	Suonava la <b>viola</b> in un quintetto d'archi.	La <b>viola</b> è uno strumento musicale cordofono.	La <b>viola</b> è una pianta perenne molto piccola.
viola	same|same|same	diff|diff|diff	true|true|true	La <b>viola</b> è una pianta perenne molto piccola.	I fiori della <b>viola</b> sono commestibili.	La <b>viola</b> è uno strumento musicale cordofono.
re	same|same|same	diff|diff|diff	true|true|true	Il <b>re</b> viveva nel suo castello.	Il <b>re</b> regnava con potere assoluto.	Il <b>re</b> è la seconda nota musicale nella scala di do.
prodotto	same|same|same	diff|diff|diff	true|true|true	Il <b>prodotto</b> è il risultato della moltiplicazione.	Moltiplicando due numeri se ne calcola il <b>prodotto</b>.	Ha restituito il <b>prodotto</b> dopo averlo acquistato.
salsa	same|same|same	diff|diff|diff	true|true|true	La <b>salsa</b> è un ballo caraibico.	Il ballo caraibico più famoso è la <b>salsa</b>.	Ha preparato della pasta con una <b>salsa</b> al pomodoro.
lettera	same|same|same	diff|diff|diff	true|true|true	Scrisse una <b>lettera</b> al suo amico di penna.	Ricevette una <b>lettera</b> tramite posta raccomandata.	La A è la prima <b>lettera</b> dell'alfabeto.
blocco	same|same|same	diff|diff|diff	true|true|true	La statua fu ricavata da un grosso <b>blocco</b> di marmo.	Scolpì l'opera da un <b>blocco</b> di marmo.	Il fuggitivo viene fermato ad un <b>blocco</b> della polizia.
batteria	same|same|same	diff|diff|diff	true|true|true	Suona la <b>batteria</b> in una band.	La <b>batteria</b> è uno strumento a percussione.	La <b>batteria</b> del telefono è scarica.
batteria	same|same|same	diff|diff|diff	true|true|true	La <b>batteria</b> del telefono è scarica.	Mi serve una nuova <b>batteria</b> per la torcia.	La <b>batteria</b> è uno strumento a percussione.
piano	same|same|same	diff|diff|diff	true|true|true	Abitava al primo <b>piano</b> di una palazzina.	Vivevano al secondo <b>piano</b> di un palazzo.	Lasciò il libro sul <b>piano</b> in soggiorno.
fusto	same|same|same	diff|diff|diff	true|true|true	Il <b>fusto</b> è la struttura portante delle piante.	I boscaioli tagliarono il <b>fusto</b> in tanti ceppi.	Comprarono un <b>fusto</b> di birra per la festa.
volume	same|same|same	diff|diff|diff	false|false|false	Il <b>volume</b> raccoglie gli scritti dell'autrice.	L'antologia dello scrittore è raccolta in questo <b>libro</b>.	La <b>quantità</b> delle esportazioni è diminuita.
volume	same|same|same	diff|diff|diff	false|false|false	Il <b>volume</b> delle esportazioni è diminuito.	Secondo gli economisti la <b>quantità</b> delle esportazioni è in calo.	Il <b>libro</b> contiene diverse poesie.
